year,donor,type_donor,amount_nominal,issue_area
2020,COSPE Onlus <U+2013> Cooperazione per lo Sviluppo dei Paesi Emergenti,private,104397,"Labour, Economic Affairs, Science"
2011,NA,private,33252,Humanitarian Law and Action
2017,Union for International Cancer Control (UICC),private,13500,Health
2020,United Arab Emirates,public,2326216.457,"Labour, Economic Affairs, Science"
2000,Spain,public,2739478.63,Peace
2018,Peru,public,306574432,Humanitarian Law and Action
2012,Sri Lanka,public,145048.8651,"Labour, Economic Affairs, Science"
2020,China,public,800000,Humanitarian Law and Action
2000,Bolivia,public,7401.120482,Peace
2014,Estonia,public,333422.1105,Humanitarian Law and Action
2019,NA,private,1900000,Health
2003,Hungary,public,75414,Humanitarian Law and Action
2012,NA,private,13635994,Humanitarian Law and Action
2015,Mexico,public,3526545.1,"Labour, Economic Affairs, Science"
2013,Ethiopia,public,26283.80662,Peace
2010,Namibia,public,22368.26713,"Labour, Economic Affairs, Science"
2019,UN,public,1400000,Health
2007,Mexico,public,5832983.44,"Labour, Economic Affairs, Science"
2016,European Union,public,11266000,Health
2004,Paraguay,public,45655.15289,"Labour, Economic Affairs, Science"
2010,Jamaica,public,4039.673758,Humanitarian Law and Action
2013,Netherlands,public,3812500,Humanitarian Law and Action
2000,Sri Lanka,public,10073.76056,Humanitarian Law and Action
2011,Charities Aid Foundation,private,155639,Humanitarian Law and Action
2021,Alwaleed Philanthropies,private,700000,Health
2019,Saint Lucia,public,2837.221737,Peace
2014,Uruguay,public,30000,Humanitarian Law and Action
2009,Syria,public,5149,Humanitarian Law and Action
2002,Togo,public,1091.432402,Peace
2016,Indonesia,public,1815339.854,"Labour, Economic Affairs, Science"
2002,Vietnam,public,14189.11269,Peace
2016,Honduras,public,20315.00369,Peace
2003,Oman,public,119919.7119,"Labour, Economic Affairs, Science"
2016,World Vision,private,59500,Health
2001,Sudan,public,28662.5,Health
2006,Greece,public,687994.4299,Humanitarian Law and Action
2012,Latvia,public,13333,Humanitarian Law and Action
2015,Slovakia,public,511097.1489,Peace
2007,Hong Kong,public,4551724.224,"Labour, Economic Affairs, Science"
2020,Andorra,public,12136.60739,"Labour, Economic Affairs, Science"
2018,International Company for Medical Necessities,private,1500,Health
2007,Saudi Arabia,public,414049,Humanitarian Law and Action
2014,Australia,public,435850000,Health
2007,UN,public,862299,Humanitarian Law and Action
2020,Cote d'Ivoire,public,62200,Health
2003,Sweden,public,11488000,Health
2021,National Philanthropic Trust (NPT),private,950000,Health
2016,Italy,public,31000,Health
2017,Fondation d'Harcourt,private,185000,Health
2020,Uganda,public,30873.52686,"Labour, Economic Affairs, Science"
2019,Lesotho,public,5500,Health
2020,Turkey,public,18500,Health
2008,Spain,public,3676886.942,Health
2003,Germany,public,10506951,Humanitarian Law and Action
2010,OHCHR,public,400000,Humanitarian Law and Action
2009,Democratic People's Republic of Korea,public,17816.21006,Peace
2020,Gates Foundation,private,165900000,Health
2018,New Zealand,public,5413497,Humanitarian Law and Action
2004,New Zealand,public,347600,Humanitarian Law and Action
2014,Micronesia (Federated States of),public,2810.916188,Peace
2020,Apple Inc.,private,96000,Health
2002,Oman,public,4452.693976,Humanitarian Law and Action
2001,Kyrgyzstan,public,1039.626645,Peace
2021,Southeast Asia Tobacco Control Alliance (SEATCA),private,44000,Health
2005,NA,private,188,Humanitarian Law and Action
2017,United Kingdom,public,19952882,Health
2020,Uganda,public,22836.46533,Peace
2007,Manpower (Netherlands),private,26639,Humanitarian Law and Action
2017,"Macao, China",public,1100000,Health
2017,Ethiopia,public,18.2798276,"Labour, Economic Affairs, Science"
2019,Moldova,public,19130,Health
2007,Sri Lanka,public,126311.475,"Labour, Economic Affairs, Science"
2001,Brunei Darussalam,public,34307.17672,Peace
2008,Norway,public,295061.3522,Humanitarian Law and Action
2002,"Breesaap B.V., Netherlands",private,500000,Humanitarian Law and Action
2020,Costa Rica,public,168661.0324,"Labour, Economic Affairs, Science"
2012,South Africa,public,938417.2372,Peace
2016,KNCV Tuberculosis Foundation,private,950000,Health
2009,NA,private,5120,Humanitarian Law and Action
2021,CDC Foundation,private,265500,Health
2019,Bahamas,public,7935.397852,Humanitarian Law and Action
2020,Nepal,public,1516.676519,"Labour, Economic Affairs, Science"
2018,Costa Rica,public,15818.86586,Humanitarian Law and Action
2012,Timor-Leste,public,2437.379857,Peace
2012,Mali,public,31081.89966,"Labour, Economic Affairs, Science"
2017,Luxembourg,public,3050137.482,Health
2012,Switzerland,public,37547459,Humanitarian Law and Action
2011,Antigua and Barbuda,public,32819.39368,"Labour, Economic Affairs, Science"
2008,Yemen,public,13375.16384,Peace
2012,Belgium,public,729120.8979,"Labour, Economic Affairs, Science"
2009,NA,public,1089839378,"Labour, Economic Affairs, Science"
2017,Eritrea,public,45500,Health
2016,Honduras,public,37160,Health
2003,Ecuador,public,62717.80885,"Labour, Economic Affairs, Science"
2014,Turkey,public,5521092.047,"Labour, Economic Affairs, Science"
2004,Triangle Valley Trust,private,66904.11549,Humanitarian Law and Action
2018,NA,private,5127210,Humanitarian Law and Action
2007,Estonia,public,76879,Humanitarian Law and Action
2010,China,public,250000,Humanitarian Law and Action
2019,NA,private,2397390,Humanitarian Law and Action
2020,Saudi Arabia,public,650000,Health
2015,European Union,public,129615323,Humanitarian Law and Action
2007,Guinea,public,2176.820471,Peace
2018,Kenya,public,10056.41779,Humanitarian Law and Action
2018,Myanmar,public,47840,Health
2012,Czech Republic,public,1651577,Humanitarian Law and Action
2004,Algeria,public,50000,Humanitarian Law and Action
2019,Mali,public,160500,Health
2011,Saudi Arabia,public,112000,Humanitarian Law and Action
2006,Saudi Arabia,public,2500000,Health
2007,Czech Republic,public,1101856,Humanitarian Law and Action
2015,NA,private,238997590,Health
2007,Uganda,public,26800,Health
2017,UN,public,1000000,Health
2016,Mauritius,public,60390,Health
2008,Japan,public,26379870,Humanitarian Law and Action
2002,Malaysia,public,1197077.262,"Labour, Economic Affairs, Science"
2015,Hungary,public,795040.1073,Peace
2020,Norway,public,3450000,Health
2017,Micronesia (Federated States of),public,4650,Health
2017,UN,public,20050000,Health
2005,Singapore,public,10000,Humanitarian Law and Action
2017,Pakistan,public,15000,Humanitarian Law and Action
2011,South Korea,public,10000,Humanitarian Law and Action
2010,Afghanistan,public,1985,Humanitarian Law and Action
2012,Nepal,public,33154.0263,"Labour, Economic Affairs, Science"
2017,UN,public,1050000,Health
2020,UN,public,4850000,Health
2014,Benin,public,1520.491709,Humanitarian Law and Action
2011,Nicaragua,public,1877.163467,Humanitarian Law and Action
2016,Slovakia,public,22548,Humanitarian Law and Action
2018,Nicaragua,public,15556.05323,"Labour, Economic Affairs, Science"
2009,Tuvalu,public,2545.157942,Peace
2007,Ghana,public,8707.064289,Peace
2011,Peru,public,6415.237117,"Labour, Economic Affairs, Science"
2007,Romania,public,54146,Humanitarian Law and Action
2015,Netherlands,public,33946000,Health
2017,Azerbaijan,public,154143.3448,Peace
2007,Benin,public,22555.62054,"Labour, Economic Affairs, Science"
2013,Togo,public,2628.401291,Peace
2009,Congo,public,41399.00859,"Labour, Economic Affairs, Science"
2013,Czech Republic,public,859377.0229,Humanitarian Law and Action
2017,"Institute of Food Research (IFR), UnitedKingdom",private,6500,Health
2017,Nippon Foundation,private,144000,Health
2004,France,public,6718434.961,"Labour, Economic Affairs, Science"
2018,"University of Newcastle, Australia",private,26500,Health
2013,Iraq,public,95953.84204,Humanitarian Law and Action
2016,Hong Kong,public,122811,Health
2007,Mexico,public,4912972.612,Peace
2011,Tajikistan,public,976.3051748,Humanitarian Law and Action
2021,West African Health Organisation (WAHO),public,442500,Health
2010,Senegal,public,1365.415483,"Labour, Economic Affairs, Science"
2013,United States,public,175886.685,Health
2015,Estonia,public,158189.9476,"Labour, Economic Affairs, Science"
2020,Rockefeller Foundation,private,2800000,Health
2007,Cuba,public,133051.9192,"Labour, Economic Affairs, Science"
2014,New Zealand,public,149251.5972,"Labour, Economic Affairs, Science"
2019,Croatia,public,22931.75014,"Labour, Economic Affairs, Science"
2016,Libya,public,800000,Health
2001,Luxembourg,public,17113.50041,Humanitarian Law and Action
2016,Peru,public,382184.1822,"Labour, Economic Affairs, Science"
2008,European Union,public,117556705.4,Humanitarian Law and Action
2000,NA,private,21242,Humanitarian Law and Action
2008,Qatar,public,309728.6467,"Labour, Economic Affairs, Science"
2007,UN,public,700000,Humanitarian Law and Action
2004,Congo,public,1745.078338,Peace
2017,Mali,public,7707.197795,Peace
2019,KNCV Tuberculosis Foundation,private,203500,Health
2020,Fondation Botnar (FB),private,19500,Health
2020,Switzerland,public,90500,Health
2019,UN,public,89000,Health
2014,Micronesia (Federated States of),public,190000,Humanitarian Law and Action
2017,Luxembourg,public,872000,Health
2009,Uganda,public,7635.473827,Peace
2004,NA,private,3910852,Humanitarian Law and Action
2019,Norway,public,177500,Health
2017,Malaysia,public,1448800,Health
2006,Tunisia,public,8497.076588,Humanitarian Law and Action
2014,Malta,public,8051.07455,Humanitarian Law and Action
2003,Israel,public,1412433,Health
2020,UEFA,private,112025.3063,Humanitarian Law and Action
2007,Italy,public,672042,Humanitarian Law and Action
2006,Panama,public,138534.0908,"Labour, Economic Affairs, Science"
2019,Mali,public,11480.4659,"Labour, Economic Affairs, Science"
2016,Sweden,public,6091974,Humanitarian Law and Action
2019,UN,public,6650000,Health
2000,Bahamas,public,15859.55825,Peace
2008,Stichting Vluchteling,private,481528,Humanitarian Law and Action
2014,Finland,public,1630088,Humanitarian Law and Action
2021,UN,public,222500,Health
2018,Novo Nordisk A/S,private,690846.451,Humanitarian Law and Action
2001,Estonia,public,48825.1171,"Labour, Economic Affairs, Science"
2003,Japan,public,875397,Humanitarian Law and Action
2003,Switzerland,public,66832.46067,Humanitarian Law and Action
2016,The Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH),private,950000,Health
2010,United States,public,51809323.76,Peace
2019,Luxembourg,public,3022582.046,Health
2012,Spain,public,10300000,Health
2010,Brazil,public,1350000,Humanitarian Law and Action
2006,Andorra,public,47852.8811,Humanitarian Law and Action
2020,Costa Rica,public,13938,Humanitarian Law and Action
2002,Zakat House (KUW),private,200000,Humanitarian Law and Action
2007,Suriname,public,3094.056313,"Labour, Economic Affairs, Science"
2007,Australia,public,1682649.292,"Labour, Economic Affairs, Science"
2016,Bolivia,public,2891.229295,"Labour, Economic Affairs, Science"
2003,Botswana,public,43399.5148,"Labour, Economic Affairs, Science"
2018,Japan,public,8274757.819,"Labour, Economic Affairs, Science"
2015,Iran,public,1064038.618,Peace
2005,Philippines,public,230795.5,Health
2018,Unites States Council Foundation,private,95619,"Labour, Economic Affairs, Science"
2020,UN,public,519302,Humanitarian Law and Action
2017,UN,public,2250000,Health
2001,Mauritania,public,11812.52833,"Labour, Economic Affairs, Science"
2017,Indonesia,public,2253147,Health
2019,IKEA Foundation,private,49500,Health
2009,European Union,public,0,"Labour, Economic Affairs, Science"
2010,Mozambique,public,6355.573244,Peace
2007,Austria,public,2661201.667,"Labour, Economic Affairs, Science"
2018,Democratic Republic of the Congo,public,105958.4838,"Labour, Economic Affairs, Science"
2019,Montenegro,public,11466.3782,"Labour, Economic Affairs, Science"
2002,Czech Republic,public,416507.8176,"Labour, Economic Affairs, Science"
2017,Maldives,public,2893.290491,"Labour, Economic Affairs, Science"
2015,Germany,public,21343538.63,Peace
2019,Libya,public,85114.41351,Peace
2008,Slovakia,public,1148227,Humanitarian Law and Action
2012,Brunei Darussalam,public,68248.59573,Peace
2014,Malawi,public,32008.91556,"Labour, Economic Affairs, Science"
2010,Thailand,public,693407.6513,"Labour, Economic Affairs, Science"
2003,France,public,6021111.632,"Labour, Economic Affairs, Science"
2016,Asia-Europe Foundation (ASEF),private,500000,Health
2004,Niger,public,19367.97545,"Labour, Economic Affairs, Science"
2011,Azerbaijan,public,12831.60031,"Labour, Economic Affairs, Science"
2020,Medecins Sans Frontieres,private,685317.9761,Health
2016,Switzerland,public,270000,Health
2009,Qatar,public,308290.6459,"Labour, Economic Affairs, Science"
2010,Canada,public,2984184,Humanitarian Law and Action
2011,Andorra,public,12831.60031,"Labour, Economic Affairs, Science"
2003,Belize,public,10687.99563,Humanitarian Law and Action
2009,NA,public,14191000,Health
2016,Thailand,public,18500,Health
2007,Jordan,public,49120,Health
2019,Uruguay,public,5732.68597,"Labour, Economic Affairs, Science"
2016,Tajikistan,public,11563.90236,"Labour, Economic Affairs, Science"
2002,Lesotho,public,13675.67321,"Labour, Economic Affairs, Science"
2015,United Kingdom,public,20493561.28,"Labour, Economic Affairs, Science"
2013,Cyprus,public,92712.94546,Humanitarian Law and Action
2000,Suriname,public,4229.269141,Peace
2018,World Bank,public,28134.2451,Humanitarian Law and Action
2020,Nicaragua,public,21052.40735,"Labour, Economic Affairs, Science"
2014,Cyprus,public,128035.6622,"Labour, Economic Affairs, Science"
2018,Holy See,public,6500,Humanitarian Law and Action
2020,Luxembourg,public,2700000,Health
2004,Algeria,public,132628.9918,Peace
2017,Tanzania,public,1446.137472,"Labour, Economic Affairs, Science"
2010,NA,private,9241272,Humanitarian Law and Action
2018,FIA Foundation for the Automobile and Society,private,14500,Health
2020,Kazakhstan,public,81542.66452,Humanitarian Law and Action
2006,Botswana,public,35549.10782,"Labour, Economic Affairs, Science"
2005,Lithuania,public,112928.5234,"Labour, Economic Affairs, Science"
2005,Switzerland,public,132511.2815,Humanitarian Law and Action
2021,Austria,public,399500,Health
2000,NATO Music Festival Moenchengladbach,private,21573,Humanitarian Law and Action
2004,Kenya,public,58016.27026,"Labour, Economic Affairs, Science"
2011,Tunisia,public,2000000,Health
2015,Burkina Faso,public,30471.29983,"Labour, Economic Affairs, Science"
2016,Trinidad and Tobago,public,123006.6349,"Labour, Economic Affairs, Science"
2005,Switzerland,public,23702584,Humanitarian Law and Action
2020,Montenegro,public,16842.1389,"Labour, Economic Affairs, Science"
2008,Belarus,public,72877.6002,"Labour, Economic Affairs, Science"
2012,Pakistan,public,4728,Humanitarian Law and Action
